"cell_type","MS4A1","CD14","LYZ","IL7R","CD3E","CD8A","FCER1A","CST3","FCGR3A","PPBP","GNLY","NKG7","UMAP1","UMAP2"
"CD4 T cells",0,0,1.88078382714939,0,2.8722038877824,0,0,0,0,0,0,0,6.13756370544434,-1.68964874744415
"CD4 T cells",0,0,0,2.78593122709531,2.78593122709531,0,0,0,0,0,0,0,2.84651708602905,2.34770560264587
"CD14+ Monocytes",0,2.6502724004354,5.59301425125716,0,0,0,0,4.13362150411391,0,0,0,0,-2.469916343689,2.35595083236694
"CD4 T cells",0,0,0,0,0,0,0,0,0,0,0,0,1.99143266677856,1.31962668895721
"FCGR3A+ Monocytes",0,0,3.36795261274056,0,0,0,0,3.88428977034388,3.46012513721456,0,0,0,-6.4827861785889,1.84314155578613
"CD14+ Monocytes",0,0,4.98599306783337,0,0,0,0,3.79783813974982,0,0,0,0,-2.0545482635498,4.57096815109253
"FCGR3A+ Monocytes",0,0,4.40259220334094,0,0,0,0,4.02873846513074,2.88934526363758,0,0,0,-6.3105459213257,1.48203027248383
"FCGR3A+ Monocytes",0,0,3.29737888635614,0,0,0,0,4.15103990589865,3.19611883774558,0,0,0,-5.8466024398804,1.34114027023315
"CD4 T cells",0,0,1.66165694123613,1.66165694123613,0,0,0,0,0,0,0,0,3.11393165588379,-0.36989837884903
"CD4 T cells",0,0,2.27402056526025,3.12658462302919,1.67881431977764,0,0,0,0,0,0,0,3.23336410522461,-0.942952930927277
"B cells",2.78486113153141,0,0,0,0,0,0,0,0,0,1.56848926349027,0,3.26331424713135,-8.0097417831421
"CD14+ Monocytes",0,0,5.6347491240837,0,0,0,0,4.42872843215274,0,0,0,1.67881431977764,-2.972580909729,2.94367170333862
"CD4 T cells",0,0,0,2.92847619890372,1.93147865920373,0,0,0,0,0,0,0,5.09146976470947,-1.06183505058289
"CD14+ Monocytes",1.25383543133008,1.79301056409911,5.17197659840083,0,0,0,0,3.58497839704763,0,1.25383543133008,0,0,-3.3065013885498,1.09474337100983
"CD14+ Monocytes",0,2.28235365148931,5.77786807013276,1.01521027437673,0,0,0,3.80663120139317,0,0,0,1.50848707397709,-3.9277906417847,1.15807223320007
"CD4 T cells",0,0,0,2.13731361565323,0,2.13731361565323,0,0,0,0,0,0,2.83345365524292,0.477259516716003
"CD4 T cells",0,0,0,1.52796870963328,2.47033571207988,0,0,0,0,0,0,0,1.59858655929565,0.684662401676178
"NK cells",0,0,0,0,0,0,0,0,2.83623022199256,0,4.39761477866816,4.86299272880139,10.3054487705231,1.2306501865387
"FCGR3A+ Monocytes",0,0,0,0,0,0,0,3.45998945436238,1.81419047444502,0,0,0,-5.4872283935547,2.29066324234009
"CD4 T cells",0,0,0,0,1.76077704654095,0,0,0,0,0,0,1.76077704654095,3.89256000518799,0.564052104949951
"FCGR3A+ Monocytes",0,1.67369211765416,3.02009202040506,1.1524400913823,0,0,0,3.74128838109599,2.63873239053848,0,1.1524400913823,1.1524400913823,-5.9830131530762,1.99163627624512
"CD4 T cells",0,0,0,0,0,0,0,0,0,0,0,0,5.63407576084137,-0.360425233840942
"CD4 T cells",0,0,0,2.94572832329652,3.11925065311572,0,0,0,0,0,0,0,5.32788276672363,-0.189889147877693
"CD4 T cells",0,0,1.50167084358283,0,2.0767337617138,1.50167084358283,0,0,0,0,0,0,2.48208284378052,0.973606646060944
"CD4 T cells",1.48905107788722,0,0,3.07256934163979,2.89946557738806,0,0,1.48905107788722,0,0,0,0,3.77628207206726,-0.877691149711609
"CD4 T cells",0,0,2.19651378210416,1.6087982194649,1.6087982194649,0,0,0,0,0,0,0,5.18191170692444,0.680291414260864
"NK cells",0,0,1.8280804879181,0,0,0,0,0,1.8280804879181,0,5.4185111869926,4.49728254598416,10.6536116600037,1.24472761154175
"CD4 T cells",0,0,0,0,2.07125975698358,0,0,0,0,0,2.07125975698358,0,4.27063226699829,-0.825335025787354
"NK cells",0,0,0,0,0,0,0,0,2.70581306370385,0,3.95528225090156,4.59274696766527,10.7202146053314,1.26823759078979
"CD4 T cells",0,0,1.5142695665425,1.5142695665425,1.5142695665425,0,0,0,0,0,0,0,3.34158897399902,-0.0177800413221121
"B cells",1.76317442783216,0,1.76317442783216,0,1.76317442783216,0,0,0,0,0,0,0,3.57968997955322,-8.5423431396484
"CD4 T cells",0,0,1.94676778204099,0,2.56587293175947,0,0,1.94676778204099,0,0,0,0,5.00283479690552,1.16822135448456
"CD4 T cells",0,0,0,0,2.42939102175148,0,0,0,0,0,0,1.82066813086218,3.31914758682251,-1.45160400867462
"CD4 T cells",0,0,0,2.70256079394211,2.07429610670219,0,0,0,0,0,0,0,1.92458295822144,0.242265090346336
"CD14+ Monocytes",0,0,5.04052325719796,0,0,0,0,3.85153513049943,0,0,1.57666088543455,0,-2.4206237792969,1.64287292957306
"CD14+ Monocytes",0,0,5.02257131558254,0,0,0,0,4.27232379029696,0,0,0,0,-2.1729145050049,2.95465612411499
"CD8 T cells",0,0,1.86171805783497,1.86171805783497,0,2.47397757925581,0,0,0,0,0,3.12408724813577,6.86339318752289,0.416352808475494
"CD14+ Monocytes",0,0,4.99991864952905,0,0,0,0,3.86173365753214,0,0,0,0,-3.0383195877075,3.23614430427551
"CD4 T cells",0,0,1.75048145574537,2.35277882971183,0,0,0,0,0,0,1.75048145574537,0,4.01833939552307,0.0513790771365166
"CD14+ Monocytes",1.66756079844358,2.26160186449607,5.10212359371005,0,0,0,0,3.68117573788596,0,0,0,2.26160186449607,-2.2472448348999,3.16424131393433
"B cells",2.25814306368322,0,1.66442885886046,0,0,0,0,0,0,0,0,0,4.03206968307495,-8.738429069519
"CD4 T cells",0,0,0,1.85078388857223,2.46211673236237,0,0,0,0,0,1.85078388857223,0,2.44374895095825,1.19785594940186
"CD4 T cells",0,0,0,0,2.62615392477935,0,0,0,0,0,0,0,3.8094801902771,2.73662853240967
"B cells",2.70256079394211,0,3.08542793606403,0,2.07429610670219,0,0,0,2.07429610670219,0,0,0,2.80565786361694,-9.063364982605
"B cells",2.93267413758685,0,0,2.29141179239592,0,0,0,0,0,0,2.29141179239592,2.29141179239592,2.7699613571167,-8.3274908065796
"CD4 T cells",0,0,1.67175919771753,0,0,0,0,0,0,0,0,0,3.15241718292236,1.15853023529053
"CD14+ Monocytes",0,1.6735161717558,5.27755104421106,0,0,0,0,3.68832711450852,0,0,0,0,-2.9173593521118,2.85201573371887
"B cells",0,0,2.132383105178,0,0,0,0,0,0,0,0,0,3.08677196502686,-9.1925096511841
"B cells",2.51685108634779,0,0,0,0,0,0,0,0,0,2.51685108634779,0,2.21979951858521,-7.6289577484131
"CD14+ Monocytes",0,1.4372827309739,4.7015184544031,0,0,0,0,3.49930444011058,0,0,0,0,-3.693398475647,1.92508375644684
"CD14+ Monocytes",0,3.64604285595967,5.52073310890834,0,0,0,0,4.22216433158258,0,0,1.78781206834478,1.24938043691933,-2.6788387298584,1.2199684381485
"CD4 T cells",0,0,1.74460943309666,0,2.34634655143386,0,0,0,0,0,0,0,2.03686571121216,1.46683955192566
"CD14+ Monocytes",0,1.24250138735009,4.8019626777993,0,1.24250138735009,0,0,4.31652823127829,0,0,0,0,-2.9975996017456,1.47766864299774
"CD14+ Monocytes",0,1.53051695045905,4.87779191686409,0,0,0,0,3.70932434788761,0,0,0,0,-2.7026481628418,2.58646655082703
"Dendritic cells",0,0,5.12132839833238,0,0,0,3.30051901965627,4.14394308360506,0,0,0,0,-2.635537147522,-0.172914400696754
"NK cells",0,0,0,1.68415373591483,1.68415373591483,0,0,0,3.58637916082557,0,5.14823657105777,4.98223822719274,10.1458768844604,1.02522683143616
"CD14+ Monocytes",0,0,5.69356429900539,0,0,0,0,2.80797541146635,0,0,0,0,-2.2038984298706,4.48155927658081
"CD4 T cells",0,0,1.61651531048164,1.61651531048164,2.57311115383595,0,0,0,0,0,0,0,3.51587843894958,0.178965166211128
"CD8 T cells",0,0,0,0,0,2.69716708601757,0,0,1.72500447137959,0,2.96785655597551,4.31482775134058,9.87229943275452,1.97624123096466
"NK cells",0,0,1.93704846870536,1.93704846870536,0,0,0,0,1.93704846870536,0,2.9346399057819,4.10069804939037,9.83536219596863,0.920365691184998
"B cells",1.97163083458408,0,0,0,0,0,0,0,0,0,0,0,3.77697205543518,-8.5138750076294
"CD4 T cells",0,0,0,0,0,0,0,0,0,0,0,4.14735597299424,5.81231009960175,2.17670750617981
"B cells",2.37503047324819,0,0,0.965166023173268,0,0,0,0,0,0,0,0,4.1285879611969,-8.9112377166748
"CD4 T cells",0,0,2.10850143483545,1.52994980251057,2.47265144574793,0,0,1.52994980251057,0,0,0,0,1.94698047637939,0.0912585854530334
"Dendritic cells",0,0,4.87701113979475,0,0,0,0.881959517867391,4.57741598324254,0,0,0,0,-2.5611276626587,-0.621488630771637
"CD14+ Monocytes",0,0,6.4605872917461,0,0,0,0,3.69107573758514,0,0,0,0,-2.3967132568359,3.45057058334351
"CD4 T cells",0,0,0,2.72247956061345,2.34934204738138,0,0,0,0,0,0,0,3.62374186515808,1.07880914211273
"CD4 T cells",0,0,2.48600736536419,0,0,0,0,0,0,0,0,3.52752595045218,4.94305539131165,1.49548780918121
"CD4 T cells",0,0,1.88551008878341,0,2.49974845076556,0,0,0,0,1.88551008878341,1.88551008878341,0,5.09714961051941,0.181900754570961
"CD14+ Monocytes",0,2.35622996600174,4.56965682324739,0,0,0,0,3.88681784507972,0,0,0,0,-1.7102613449097,3.64966535568237
"FCGR3A+ Monocytes",0,0,3.2103140632837,0,0,0,0,3.9765198986774,1.75048145574537,0,0,1.75048145574537,-5.2332344055176,1.97120070457458
"CD4 T cells",0,0,0,1.9998212668599,1.9998212668599,0,0,1.4336234045326,0,0,0,0,1.86729526519775,0.425651133060455
"B cells",2.66631673970834,0,0,0,0,0,0,0,0,0,0,0,1.97978401184082,-8.2338495254517
"FCGR3A+ Monocytes",0,0,3.66785852774081,0,0,0,0,3.43363536435767,3.66785852774081,0,0,0,-5.3665552139282,1.73625910282135
"CD4 T cells",0,0,0,0,0,0,0,0,0,0,0,1.77284598709209,3.25406837463379,1.53107130527496
"CD8 T cells",0,0,1.76117604585597,0,1.76117604585597,1.76117604585597,0,1.76117604585597,0,0,0,4.22639393350052,8.42910194396973,1.80909204483032
"CD14+ Monocytes",1.84807577775508,0,4.39708646087568,0,0,0,0,3.77919419252186,0,0,1.84807577775508,0,-2.0217809677124,3.55571341514587
"B cells",1.89313574700399,0,1.89313574700399,0,0,0,0,0,0,0,0,0,2.40482807159424,-8.9904041290283
"CD8 T cells",0,0,1.64728693860102,3.26412573752268,2.23919196735262,1.64728693860102,0,0,0,0,3.75954109316022,3.54220425716909,6.75210237503052,0.326419115066528
"CD4 T cells",0,0,1.58216563210548,1.58216563210548,2.1668756163322,0,0,0,0,0,0,0,3.79022169113159,-1.09686291217804
"CD4 T cells",0,0,2.42844754730691,0,3.07650655669194,0,0,0,0,0,0,0,3.9041748046875,2.92904901504517
"CD14+ Monocytes",0,2.83371544662121,4.90085377865351,0,0,0,0,3.77710629632414,0,0,0,0,-2.6920099258423,3.08136653900146
"B cells",3.83995800160535,0,0,0,0,0,0,0,0,0,0,0,2.40226364135742,-7.9920015335083
"NK cells",0,0,1.9174857665439,0,1.9174857665439,0,0,0,3.18698557795934,0,4.98426231904605,4.71198466444295,9.94966101646423,0.879367232322693
"CD4 T cells",0,0,1.40511037996073,2.58805771317611,0,0,0,0,1.40511037996073,0,0,0,3.36913442611694,-0.113534547388554
"CD4 T cells",0,0,2.02366296411885,0,2.02366296411885,0,0,0,0,0,0,0,3.18915891647339,1.68947386741638
"CD4 T cells",0,0,0,1.93704846870536,2.55540274557796,2.29327826051456,0,0,0,0,0,0,2.43641996383667,-0.454554170370102
"CD4 T cells",0,0,1.39795674245062,0,1.39795674245062,0,0,0,0,0,0,0,2.82420778274536,-0.175466626882553
"CD8 T cells",0,0,1.86263667233504,0,1.86263667233504,0,0,0,0,0,0,4.53787414858557,8.36363273859024,2.25025248527527
"B cells",1.99623969310687,0,2.99992195783914,0,0,0,0,0,0,0,0,0,1.9962592124939,-8.6734991073608
"FCGR3A+ Monocytes",0,0,4.11059287452593,0,0,0,0,4.24207240731786,1.66477614270494,0,0,0,-5.348578453064,2.15278482437134
"CD4 T cells",0,0,1.96395366424925,1.96395366424925,1.96395366424925,1.40210016129108,0,0,0,0,0,0,3.47375392913818,-0.396132439374924
"CD4 T cells",0,0,0,2.74071140430585,2.74071140430585,0,0,0,0,0,0,0,4.01382803916931,-0.119329936802387
"CD4 T cells",0,0,0,0,0,0,0,0,0,0,0,0,2.53167724609375,1.93952775001526
"B cells",0,0,0,0,0,0,0,0,0,0,0,0,2.1064887046814,-9.2430562973022
"CD4 T cells",0,0,0,2.30918160180076,2.30918160180076,0,0,0,0,0,0,0,2.70351934432983,-0.689420700073242
"CD8 T cells",0,0,0,0,0,0,0,0,2.52262929039521,0,4.7502499680411,4.06571512741176,9.54936599731445,0.911016345024109
"NK cells",0,0,0,0,0,0,0,0,2.86385240896794,0,4.12076025216187,4.93260922320731,9.94108462333679,2.00295543670654
"B cells",2.4369772841275,0,0,0,0,0,0,0,1.49950498597359,0,0,0,3.31564235687256,-8.6557703018188
"CD8 T cells",0,0,0,0,1.85214172938703,1.85214172938703,0,1.85214172938703,0,0,0,4.52557203289767,8.64486634731293,2.05910468101501
"CD4 T cells",0,0,0,2.06222136969842,0,0,0,0,0,0,0,3.07224200668382,6.38657832145691,1.95812177658081
"B cells",3.7795426193001,0,1.51871065293527,0,0,0,0,1.51871065293527,0,0,0,0,4.20258212089539,-8.7545928955078
"CD4 T cells",0,0,1.62891904800592,1.62891904800592,0,0,0,0,0,0,0,0,3.83303046226501,1.33951532840729
"CD14+ Monocytes",0,0,4.71439098690401,0,0,0,0,4.33086319658753,0,1.59896079460985,0,0,-3.5079021453857,2.37512993812561
"NK cells",0,0,1.90277992121162,0,0,0,0,1.90277992121162,1.90277992121162,0,5.18088260167018,4.8843435434069,10.3697624206543,1.53914332389832
"CD8 T cells",0,0,1.8116156410013,0,1.8116156410013,0,0,0,1.8116156410013,0,4.89879844646139,4.04871248846871,9.42191922664642,0.764989614486694
"CD4 T cells",0,0,0,2.44752163191848,2.44752163191848,1.83734307652052,0,0,0,0,0,0,2.19881343841553,1.26125335693359
"CD4 T cells",0,0,1.58401081863252,3.01417791702267,2.53555237564348,0,0,0,0,0,1.58401081863252,0,5.59293103218079,-0.638031721115112
"CD4 T cells",0,0,0,0,2.61258418687796,1.42516878758686,0,1.42516878758686,0,0,0,0,2.9661693572998,0.979659259319305
"CD14+ Monocytes",0,3.15768884400061,5.5818602200129,0,0,0,0,4.26778055711794,0,0,0,1.33881560799499,-3.4408302307129,1.68598830699921
"CD4 T cells",0,0,1.73301070682149,2.33363052824106,2.33363052824106,0,0,0,0,0,0,0,4.40870141983032,-0.31399068236351
"CD4 T cells",0,0,0,1.71934145980446,2.69073828525716,0,0,0,0,0,0,0,2.5995717048645,0.99844217300415
"NK cells",0,0,0,0,1.92444937273313,0,0,0,2.92069214812641,0,4.77091766055508,4.81930428609379,10.1976211071014,1.82558870315552
"CD8 T cells",0,0,0,0,1.82676688586354,0,0,0,2.43602524057995,0,0,4.60578522100714,8.60411953926086,2.28683638572693
"CD14+ Monocytes",0,1.44318322591376,5.77200517756816,0,0,0,0,3.90222091714407,0,0,3.50680366271874,3.68411391253865,-2.9385967254639,1.06333577632904
"B cells",0,0,2.0767337617138,0,1.50167084358283,0,0,1.50167084358283,0,0,0,0,3.53894877433777,-8.5016851425171
"CD14+ Monocytes",0,0,4.56190085501787,0,0,0,2.82103500745122,4.19619712715497,1.18059701387529,0,0,0,-2.7258701324463,-0.18758025765419
"B cells",1.70409385603583,0,2.30186540962365,0,0,0,0,1.70409385603583,0,0,0,0,3.22318840026855,-9.3864440917969
"CD14+ Monocytes",0,2.2410672152004,5.56645035098841,0,0,0,0,3.76159089334605,0,0,0,0,-1.5349540710449,2.59316825866699
"CD8 T cells",0,0,0,2.79249899660888,1.80947696635039,0,0,0,0,0,1.80947696635039,1.80947696635039,7.04632148146629,0.265148431062698
"B cells",2.86011959712838,0,2.65119002475835,0,0,0,0,1.45692128261703,0,0,0,0,3.52830672264099,-8.0114068984985
"CD4 T cells",0,0,0,2.30795768769109,1.70963346024874,0,0,0,0,0,0,0,4.53205585479736,-0.378309905529022
"CD4 T cells",2.17202639373152,0,2.17202639373152,2.80651295380342,0,2.17202639373152,0,0,0,0,0,2.17202639373152,5.25715970993042,0.814836740493774
"CD8 T cells",0,0,0,0,2.2284006409545,0,0,0,0,0,0,2.2284006409545,7.20769083499908,1.26203644275665
"CD4 T cells",0,0,0,0,2.70842361410132,0,0,0,0,0,0,0,2.6886157989502,0.21175180375576
"CD4 T cells",0,0,0,0,0,0,0,0,0,0,0,0,2.90043020248413,0.066805936396122
"CD4 T cells",0,0,1.94908829981495,2.30592188645848,2.94795108529198,0,0,0,0,0,0,0,4.79276418685913,0.730798661708832
"CD4 T cells",0,0,0,3.52255058619706,0,0,0,0,0,0,0,0,4.66016030311584,-1.20454657077789
"CD14+ Monocytes",0,2.03833256942447,6.17753186219699,0,0,0,0,3.86586543304624,0,0,0,2.03833256942447,-1.6240463256836,2.25281262397766
"CD4 T cells",0,0,1.55656757939767,2.50369118630786,0,0,0,0,0,0,1.55656757939767,0,5.78020572662354,-1.23746776580811
"Dendritic cells",0,1.16854091338151,5.42567257497569,0,1.16854091338151,0,1.16854091338151,3.99295905435947,0,0,0,1.16854091338151,-2.8340110778809,-0.11841107904911
"CD4 T cells",0,1.58802651512561,1.58802651512561,2.17340558787198,2.17340558787198,0,0,0,0,0,0,0,2.54687738418579,0.00180444866418839
"CD4 T cells",0,0,1.3573810936217,3.57324508245085,1.3573810936217,0,0,0,0,0,0,1.3573810936217,4.5027973651886,-1.94813454151154
"B cells",2.53057238575865,0,0,0,0,0,0,0,0,0,0,0,2.49269485473633,-8.2917613983154
"B cells",3.14564146083117,0,2.8722038877824,0,0,0,0,1.88078382714939,0,0,1.88078382714939,0,3.2876091003418,-8.184907913208
"FCGR3A+ Monocytes",0,0,1.79803695374719,0,0,0,0,3.35716916116855,3.44127350615096,0,0,0,-6.7300510406494,1.57054245471954
"B cells",1.80352233381001,0,0,0,0,0,0,0,0,0,0,0,2.0119948387146,-8.9610614776611
"CD4 T cells",0,0,0,2.76465575276433,2.39020362325896,0,0,0,0,0,0,0,2.7667088508606,2.04858231544495
"FCGR3A+ Monocytes",0,1.23622668766573,2.58120078673271,0,0,0,0,3.858820090557,2.75082826856227,0,0,0,-5.6689195632935,1.73131132125854
"CD14+ Monocytes",0,0,5.84907100044363,0,0,0,0,2.44079629389538,0,0,0,0,-1.182053565979,3.4284565448761
"NK cells",0,0,1.66756079844358,0,1.66756079844358,0,0,0,0,0,5.17766424450613,4.04111852076998,10.3013532161713,0.79304426908493
"NK cells",0,0,1.64762556764427,2.23956666872002,2.23956666872002,1.64762556764427,0,1.64762556764427,1.64762556764427,0,5.62706569898685,4.33733460529132,9.23186814785004,0.196055099368095
"CD4 T cells",0,0,1.74969568161059,2.99630245317601,2.35191829274565,0,0,1.74969568161059,0,0,0,0,5.30008339881897,0.0349862724542618
"CD14+ Monocytes",0,0,5.76685998695499,0,1.22762900093811,0,0,3.89716412222221,0,0,0,1.76237439706831,-3.5537128448486,1.69784116744995
"CD4 T cells",0,0,0,3.09645162381969,0,2.44752163191848,0,0,0,0,0,0,4.19667196273804,2.01766538619995
"B cells",2.97019312519473,0,1.96923989795969,0,0,0,0,0,0,0,0,0,2.22527980804443,-8.8980178833008
"CD4 T cells",0,0,1.6710576703515,1.6710576703515,1.6710576703515,0,0,0,0,0,0,0,5.79712355136871,-1.38935053348541
"B cells",3.12149303799235,0,1.85942656011826,0,0,0,0,0,0,0,0,0,2.78647661209106,-8.8068008422852
"CD8 T cells",0,0,2.32692808480662,0,2.32692808480662,0,0,0,1.72690240966538,0,3.18287728433096,3.75206260153019,8.40107667446136,2.07384777069092
"NK cells",0,0,1.84852643060094,0,2.83623022199256,0,0,0,2.45966658043276,0,5.01603889552592,5.59293560098802,9.82896065711975,0.685691177845001
"CD8 T cells",0,0,0,0,1.78306268190063,2.76279949914037,0,1.78306268190063,0,0,0,4.17936856242036,8.22828125953674,1.66617703437805
"CD8 T cells",0,0,0,2.51059203726549,1.89553501908368,2.51059203726549,0,1.89553501908368,0,0,0,3.37692323353951,7.50824618339539,1.55892610549927
"NK cells",0,0,0,1.8774934218237,1.8774934218237,0,0,0,2.86854049623893,0,5.77502260383541,4.49528363176034,10.1004693508148,1.81778240203857
"CD4 T cells",0,0,2.02366296411885,0,3.03003536421252,0,0,0,0,0,0,0,5.75870180130005,0.625095307826996
"CD8 T cells",0,0,2.37238140115963,2.37238140115963,2.74626695758449,1.76839679346435,0,1.76839679346435,0,0,1.76839679346435,1.76839679346435,7.37206746637821,-0.0234571862965822
"CD14+ Monocytes",0,0,4.69169671483267,0,1.67175919771753,0,0,4.04620025685669,0,0,0,0,-2.4328441619873,2.58572030067444
"CD8 T cells",0,0,0,4.27962515620305,1.86840429466863,0,0,0,0,0,1.31881167634734,2.48122508885714,7.10086587071419,-0.14653280377388
